Reg no,tt,atd,A,B
2013123001,2,3,32,12
2013123002,7,1,39,47
2013123003,12,8,4,47
2013123004,18,9,6,24
2013123005,19,1,45,18
2013123006,18,4,45,4
2013123007,19,10,4,18
2013123008,18,10,25,35
2013123009,11,9,50,44
2013123010,15,2,34,6
2013123011,10,7,13,19
2013123012,19,9,32,5
2013123013,6,10,27,41
2013123014,8,8,20,27
2013123015,4,10,9,17
2013123016,9,1,32,34
2013123017,7,9,9,46
2013123018,3,1,47,12
2013123019,13,6,2,12
2013123020,3,4,8,18
2013123021,12,3,30,3
2013123022,12,2,49,21
2013123023,4,9,15,8
2013123024,9,5,41,40
2013123025,1,8,36,44
2013123026,11,5,40,40
2013123027,16,5,23,23
2013123028,13,10,48,37
2013123029,7,1,4,33
2013123030,3,4,44,29
2013123031,10,7,15,48
2013123032,17,1,40,48
2013123033,5,4,48,26
2013123034,13,1,36,5
2013123035,10,1,39,35
2013123036,11,9,4,26
2013123037,20,7,36,37
2013123038,1,10,39,7
2013123039,6,4,31,8
2013123040,8,8,15,8
2013123041,7,2,34,43
2013123042,2,4,35,29
2013123043,4,8,50,5
2013123044,10,2,2,3
2013123045,11,10,34,49
2013123046,15,2,19,35
2013123047,2,6,30,20
2013123048,3,10,44,3
2013123049,20,10,7,34
2013123050,13,8,45,49
