Reg no,tt,atd,A,B
2013123001,2,2,33,29
2013123002,19,8,18,17
2013123003,18,2,9,8
2013123004,10,1,36,16
2013123005,8,8,48,12
2013123006,1,4,20,49
2013123007,12,1,18,7
2013123008,18,4,29,19
2013123009,10,4,27,14
2013123010,6,8,35,29
2013123011,10,3,32,4
2013123012,4,4,22,20
2013123013,11,3,17,7
2013123014,20,9,21,49
2013123015,19,8,17,34
2013123016,13,1,5,2
2013123017,11,3,24,25
2013123018,4,5,42,34
2013123019,3,5,12,13
2013123020,15,2,37,30
2013123021,15,5,36,8
2013123022,8,10,42,9
2013123023,10,9,6,44
2013123024,5,9,20,8
2013123025,5,1,25,41
2013123026,19,3,23,45
2013123027,14,2,22,8
2013123028,12,10,47,12
2013123029,9,6,26,1
2013123030,13,3,48,25
2013123031,17,1,26,7
2013123032,7,5,50,13
2013123033,8,3,19,46
2013123034,7,4,7,48
2013123035,5,5,50,38
2013123036,7,4,22,22
2013123037,2,3,9,14
2013123038,2,10,38,30
2013123039,14,2,8,23
2013123040,10,9,25,36
2013123041,2,10,48,28
2013123042,14,7,1,11
2013123043,14,2,34,47
2013123044,11,6,41,49
2013123045,8,6,14,40
2013123046,9,3,33,10
2013123047,17,7,22,1
2013123048,9,2,17,24
2013123049,13,5,49,49
2013123050,15,6,31,15
