Reg no,tt,atd,A,B
2013123001,19,2,11,30
2013123002,6,7,42,27
2013123003,3,5,30,43
2013123004,11,1,38,27
2013123005,3,9,20,19
2013123006,6,3,33,28
2013123007,18,1,50,34
2013123008,16,5,2,20
2013123009,9,10,41,12
2013123010,19,4,7,45
2013123011,18,5,38,41
2013123012,5,8,31,18
2013123013,17,6,42,30
2013123014,8,9,14,29
2013123015,7,5,16,1
2013123016,6,10,34,12
2013123017,16,4,24,36
2013123018,16,7,19,34
2013123019,3,8,37,24
2013123020,16,10,30,21
2013123021,13,10,12,43
2013123022,4,10,13,33
2013123023,17,6,24,3
2013123024,12,9,25,48
2013123025,4,8,27,48
2013123026,4,9,9,9
2013123027,16,7,14,16
2013123028,13,1,24,22
2013123029,16,1,20,14
2013123030,9,7,15,6
2013123031,13,1,18,44
2013123032,12,2,14,18
2013123033,13,7,3,1
2013123034,7,4,42,7
2013123035,13,2,33,17
2013123036,10,5,31,26
2013123037,16,8,38,2
2013123038,17,5,47,47
2013123039,8,1,7,45
2013123040,7,2,26,37
2013123041,15,1,45,49
2013123042,1,2,1,21
2013123043,9,9,21,50
2013123044,17,2,47,42
2013123045,14,8,11,13
2013123046,20,3,34,14
2013123047,12,1,33,48
2013123048,18,10,32,13
2013123049,19,9,28,38
2013123050,20,1,10,8
